,county,dr_2000,dr_2004,dr_2008,dr_2012,dr_2016,dr_2020
88,WINDHAM - VT,0.526685589316458,0.6643077714873906,0.7302437606411694,0.7305465651638784,0.633532140490391,0.7049416561225924
89,SUNFLOWER - MS,0.591919191919192,0.6268239677118908,0.7025815704553603,0.7302280014250089,0.7006668055844968,0.7004441689908067
90,TOMPKINS - NY,0.5443584623065402,0.6051365501627282,0.7020360127103684,0.6269725233173683,0.6769295655841417,0.7300859972202919
91,ORANGE - NC,0.6266415369649806,0.6688697332938444,0.718275263649713,0.7022291126542205,0.7277507894097643,0.18704777815687612
92,SANTA CLARA - CA,0.6065907842861809,0.6407086459989313,0.6944841336019676,0.7010174298816186,0.7271244221688227,0.726386761658366
93,WASHTENAW - MI,0.5978128880916241,0.6345980699972297,0.6978489164417604,0.6731368880573745,0.6813254992629044,0.72607638920977
94,FRANKLIN - MA,0.5378229335251453,0.6835023140097911,0.7242470621806013,0.7169871285555379,0.6411713859129843,0.698323372787945
95,MCKINLEY - NM,0.6474589079916871,0.6328371235998642,0.7140948851639591,0.7223767613662274,0.625535640234069,0.6806992373329306
96,NORFOLK - VA,0.6170051335033739,0.6166643049454442,0.7102525834972752,0.7201842767367853,0.683827409219552,0.0
97,HERTFORD - NC,0.6944409269342788,0.632193802262666,0.7054460093896714,0.7183550100751054,0.6783820930689182,0.16684690615008463
98,LOS ANGELES - CA,0.6346594665833567,0.6313563430804459,0.6918871042791256,0.6969054722833565,0.7175722154215638,0.7102780836068208
99,HAMPSHIRE - MA,0.5616384460700026,0.6944183171642794,0.7147040341837376,0.7027480672866052,0.6674261054052751,0.7173164877960422
100,CONTRA COSTA - CA,0.5880758523427301,0.6241923234636858,0.6796922395660356,0.6636393093974342,0.684908028101035,0.7162816781234302
101,TRAVIS - TX,0.4166658368269585,0.5601468846648661,0.638692628371141,0.6014307970143933,0.657663423792456,0.7161976748962741
102,RAMSEY - MN,0.5668541579675616,0.6304493776070615,0.6596367516745618,0.6632833850987369,0.6507140948148039,0.7149879889315723
103,NANTUCKET - MA,0.5834348355663824,0.6303284416491963,0.6730006609385327,0.6258169934640523,0.6472057446144239,0.714227309893704
104,LEFLORE - MS,0.5676658389499822,0.6196508045190003,0.6814463726014831,0.7139278164879042,0.6990125673249551,0.7021022675112457
105,ORANGEBURG - SC,0.6049367629987169,0.6574912149930785,0.6857926246415456,0.7137380637066982,0.6763813929581085,0.1104032682117866
106,ZAPATA - TX,0.6261467889908257,0.5734989648033126,0.676552686671319,0.7132373694609089,0.6565881604073839,0.47134744450180693
107,QUITMAN - MS,0.61617345443891,0.594847775175644,0.6746089049338146,0.7129932143754713,0.687072808320951,0.666460012399256
108,PRESIDIO - TX,0.6055776892430279,0.6132275132275132,0.7125782583949914,0.7055586130985141,0.6603260869565217,0.6599007668019846
109,SANTA CRUZ - AZ,0.5884403463398178,0.5921323277339733,0.6527099150567541,0.6827407514034836,0.7113734558510315,0.22393809231608372
110,WILLACY - TX,0.6357171078625049,0.550987505038291,0.6952885988170507,0.7109004739336493,0.6716388616290481,0.5601009190845198
111,WASHINGTON - VT,0.5136643248512555,0.6098003052658356,0.6932919254658385,0.6944074794417716,0.5981470758540822,0.7105732484076434
112,MIDDLESEX - MA,0.6149368082697154,0.639894914073386,0.639757806484847,0.6255936990333745,0.6636957070739279,0.7099535628465964
113,WASHINGTON - MS,0.5677106067219555,0.5908811188811188,0.6723600102275633,0.709155465381689,0.6763744427934621,0.6943025322079076
114,GUADALUPE - NM,0.6517262265293762,0.5910895456550507,0.7090163934426229,0.6969555035128806,0.5309250136836344,0.5637277295568753
115,PORTSMOUTH - VA,0.6285714285714286,0.6099053978853645,0.6927461695060538,0.7077435651757328,0.6586617358141685,0.0
116,HAMPTON - VA,0.574059765698415,0.5743707504350478,0.6905347129211251,0.7063618589261543,0.6625184424915004,0.0
117,HENNEPIN - MN,0.5360305726623519,0.593278968258875,0.634183012443882,0.6234433473270937,0.6313272360682788,0.7045566683289923
118,HIDALGO - TX,0.6075210291934686,0.5486220455125217,0.690153229752875,0.7040076459301949,0.6850268397170154,0.5803906122670723
119,SHARKEY - MS,0.5876679297278677,0.5040571243102888,0.6835125448028674,0.7037914691943128,0.6753424657534246,0.6710948236371965
120,LAMOILLE - VT,0.5047127867686289,0.6268779246367293,0.7036627723397537,0.6982816149482817,0.5673875568092775,0.6870973914152688
121,WILKINSON - MS,0.6224987798926306,0.6367365542388331,0.6899648574775479,0.7030702658149598,0.677335229966809,0.6661012842258299
122,GADSDEN - FL,0.6610307598288857,0.6971502096835684,0.6922256774766771,0.7009200408907063,0.6792384570162348,0.6797828465617373
123,JOHNSON - IA,0.5907635164585268,0.6401266577945023,0.6992394655704008,0.6668597075430722,0.6524564595788926,0.3528699717355786
124,HONOLULU - HI,0.5454041173483339,0.5108073435673445,0.6982722374866775,0.6886419852936221,0.6147730851324399,0.6251367435920252
125,ELLIOTT - KY,0.6404871902561948,0.6980047345282381,0.610337972166998,0.4943726552730304,0.2591943957968476,0.23772954924874792
126,DALLAS - AL,0.5939666377816292,0.6016798578581812,0.6707270285823902,0.6973703049682624,0.6830566198382291,0.6846171070309002
127,WYANDOTTE - KS,0.6714244282399735,0.6539765172936837,0.6973184767968654,0.6760613346998305,0.617986511141633,0.6478471427313551
128,NEW CASTLE - DE,0.5987887039601869,0.6054033233379169,0.6971768642484703,0.662992238464835,0.6209016315346182,0.6780654514607156
129,MENDOCINO - CA,0.48340598663179307,0.6387019041881663,0.695796681327469,0.6623354370734215,0.5891346692638152,0.6640978311029072
130,WILLIAMSBURG - SC,0.5933280381254964,0.6498060066101451,0.6859453870948123,0.6952281648675172,0.6611531818785705,0.1072776561359608
131,MONTEREY - CA,0.5753058689400514,0.6041318730729702,0.6815453487744928,0.6713191599604916,0.6677860398177021,0.6951617527741684
132,WARREN - NC,0.6734363502575423,0.6442008222249906,0.6950465914664051,0.6866758512103917,0.6515952042267832,0.15544544836296512
133,JACKSON - TN,0.6949936895246108,0.5930324623911323,0.4941124194623417,0.41563097514340347,0.2527989252127183,0.21322562464775502
134,YOLO - CA,0.5493033400612019,0.5955505561804775,0.6707043348505938,0.6541121181604566,0.6669752710439761,0.6947807675704566
135,CUYAHOGA - OH,0.6261730534359113,0.665640593321717,0.6889104724904302,0.6941567421668495,0.6595834534018303,0.6651685393258427
136,JEFFERSON - WA,0.5230545730166751,0.6236570691877954,0.6628983042369067,0.6424428866811236,0.6241862300256461,0.6939335269441755
137,MERCER - NJ,0.6141680006491639,0.612534278643569,0.6807106951163363,0.679931731276586,0.6693647822448237,0.6938234694570904
138,DOUGHERTY - GA,0.5728736581337738,0.5886111689006449,0.6727848427122484,0.6934518315356417,0.6838677501686861,0.17400385149103678
139,MILWAUKEE - WI,0.5820241409614404,0.6172351296875389,0.6730311116348761,0.674896868706555,0.6559885700527204,0.6912637181869878
140,EL PASO - TX,0.5780946208684381,0.5610680945669416,0.6587433124767185,0.6551284133354986,0.6908293147919704,0.6678163979169869
141,NAPA - CA,0.5432101152269739,0.5962277517045957,0.6513698400456055,0.6296517343069794,0.6387114645115036,0.6904643104643104
142,GLACIER - MT,0.5361299709020368,0.5789127575624726,0.6885938442969222,0.6567834681042228,0.614975369458128,0.6426918283781378
143,FULTON - GA,0.577629439387262,0.5935171297288289,0.6705651483625391,0.6428325193186937,0.6885887744528746,0.18161510619278426
144,WINDSOR - VT,0.5194359625347377,0.6032762375272207,0.6880795764479384,0.6792571169727168,0.5866078588612671,0.6824666740112372
145,SILVER BOW - MT,0.5368496677243609,0.5786495896543149,0.6880782603571218,0.6479470040582478,0.5238876732312181,0.5569728802658377
146,DISTRICT 33 - AK,0.2025941230486685,0.2918266593527153,0.234481984510046,0.3635390175344666,0.6017716931749547,0.687813783660429
147,ADDISON - VT,0.5127675446146783,0.5999784703159481,0.6862459715147105,0.6843662758235622,0.5895118490883295,0.6673300605899783
148,BOLIVAR - MS,0.6231348795981682,0.637521412080137,0.674015131750587,0.6858957739175525,0.6543692129629629,0.6478463329452853
149,DOUGLAS - KS,0.4580802249108891,0.5714114665442717,0.6441814300161055,0.6078928237615536,0.6228162996386288,0.6855197915791243
150,SUMMIT - CO,0.4792193711601012,0.5929377502730251,0.6578965031210149,0.6104362591431557,0.5908866081365154,0.6835326586936522
151,CHARLES CITY - VA,0.6461187214611872,0.6266356498982262,0.6833614254755599,0.6550094517958412,0.6077428780131483,0.19695263829467838
152,WILLIAMSBURG - VA,0.4628187919463087,0.512962962962963,0.6376897008987771,0.6328084667010841,0.6826645685811696,0.0
153,CAMDEN - NJ,0.6459684752185553,0.6235600838263183,0.6817798478550299,0.681734300974147,0.647494174551617,0.6615813102760226
154,IMPERIAL - CA,0.5352662680996648,0.5387614855995676,0.6224111282843895,0.6517827045248282,0.6792747083653906,0.6111414623830252
155,EDGECOMBE - NC,0.6216349851664652,0.6108923573224536,0.671153104512148,0.6788521429630728,0.6519328136301535,0.15787769360599757
156,ASHLAND - WI,0.5520912547528517,0.6310468529187955,0.6785630977373455,0.6448877209746775,0.5265911072362686,0.5482471165924403
157,BENTON - OR,0.5086590278867786,0.5797529244561058,0.6433366323852145,0.6199723226641668,0.5987939203741308,0.6785545180779939
158,ALEXANDRIA CITY - VA,0.0,0.0,0.0,0.0,0.0,0.26756825535318285
159,WESTCHESTER - NY,0.5864030663707888,0.5684918007933901,0.634157448158761,0.6044016300808089,0.6488119718058741,0.6757401057834792
160,BROWARD - FL,0.6740984416049574,0.6420865446643805,0.6712640295190483,0.6719952619040694,0.6650872467248672,0.646100126139221
161,BIG HORN - MT,0.5635664503725066,0.5138019021108792,0.6736922782142173,0.6230004323389537,0.49421760679726223,0.5206939799331104
162,KNOTT - KY,0.6734283059770827,0.633621855558561,0.44879725085910654,0.24942912348498156,0.21603331598125977,0.22588385858262677
163,UNION - NJ,0.6009615126654612,0.5869205013103099,0.6409109449354181,0.6660217031801783,0.6641018132672598,0.672929076528414
164,CHARLOTTESVILLE CITY - VA,0.0,0.0,0.0,0.0,0.0,0.2849158165723647
165,NORTHAMPTON - NC,0.6723170731707317,0.6367160775370582,0.6501224336033151,0.6723689103756043,0.6238830219333875,0.15007418397626113
166,DISTRICT 36 - AK,0.3487538102922718,0.3511524726761173,0.33927768619811177,0.6719629927594529,0.32587124878993223,0.40852346104175635
167,BAMBERG - SC,0.6216897856242118,0.6363485752153745,0.6495450542999707,0.6718977041557687,0.6272932088831671,0.10310603723130721
168,MACON - GA,0.633065442020666,0.6083315888633033,0.6522873194221509,0.671616816565572,0.6309773734546302,0.1532067782067782
169,BLAINE - ID,0.47215923406399596,0.5905775675142914,0.6571752908901712,0.587796743182264,0.59828422230511,0.6711565956806381
170,LEE - SC,0.5870219813309244,0.6280070904026336,0.6511526275538075,0.6710452453126754,0.6374448258950466,0.10534535246906258
171,DEER LODGE - MT,0.5893250992501102,0.5943209333039842,0.6704769412692156,0.6412556053811659,0.4893009985734665,0.5238192598650583
172,HOOD RIVER - OR,0.4763130190665575,0.5666903337052439,0.6410986775178027,0.6157755641390527,0.5967002749770852,0.6695187165775401
173,APACHE - AZ,0.6694592927631579,0.647078270931482,0.6343252823345149,0.6633782110801609,0.6175843245001988,0.2207532506918382
174,TALIAFERRO - GA,0.6682692307692307,0.6435331230283912,0.6494949494949495,0.660436137071651,0.6075808249721293,0.15113146551724138
175,TROUSDALE - TN,0.667572156196944,0.5799373040752351,0.45538746526705776,0.4268502581755594,0.2993670886075949,0.2531265632816408
176,IOWA - WI,0.5542168674698795,0.5678520172221336,0.6673072102932576,0.6466411361097814,0.5439641109298532,0.5594625500285878
177,LAKE - IN,0.6197824925849745,0.6102636925466168,0.6672878035227561,0.6487822044231207,0.5811734300837454,0.5677044499809053
178,ATHENS - OH,0.5170747042873424,0.6323059512714685,0.666345102578944,0.6623851219335697,0.5559895391094658,0.5668674929966614
179,TETON - WY,0.3852938356821014,0.5257505062065323,0.6045796585484262,0.5419574319609212,0.5792349726775956,0.6659903969703118
180,HOUSTON - TN,0.6654940837863768,0.5917060951850821,0.5002981514609421,0.46250412950115627,0.27335858585858586,0.23629951166576235
181,PROVIDENCE - RI,0.6526054931564579,0.6270313102140318,0.6601821551078343,0.6652515336399918,0.5751064497693924,0.6051777442814862
182,RICHMOND - GA,0.5459522402586117,0.5666984209462775,0.6567254484262539,0.6651480637813212,0.6464146196119976,0.16986531212650546
183,EMPORIA - VA,0.5365384615384615,0.5614588023412878,0.6503630110813909,0.6650593471810089,0.6463878326996197,0.0
184,NORFOLK - MA,0.5941477471569502,0.6021435236775111,0.5818083243456378,0.5685860379274268,0.6135019719992698,0.664924752215102
185,SMITH - TN,0.6646706586826348,0.5163022631377062,0.38651337036558586,0.3485254691689008,0.2271382463690156,0.19909402275991603
186,MCDOWELL - WV,0.6634259893194577,0.6166598164132073,0.5334370139968896,0.34082094376212024,0.2318233113009834,0.20422858893825646
187,DEWEY - SD,0.5234979179060083,0.6263650546021841,0.6623441396508728,0.6369393139841689,0.5199063231850117,0.5752797558494405
188,LEE - AR,0.6617325891773841,0.6245098039215686,0.6013818761626362,0.6153621495327103,0.5733641771315268,0.1249122191011236
189,BERTIE - NC,0.649386845039019,0.6147908366533864,0.6519512444945201,0.6613652079423096,0.6181662565529047,0.15127356087620988
190,BENSON - ND,0.44196843082636955,0.5325022261798753,0.6609098567818029,0.5725544738062124,0.41869716558925907,0.4191738908720041
191,HALIFAX - NC,0.6023571007660578,0.5867562477731969,0.6395520306085848,0.658614210667587,0.6257400564230937,0.15086959897511548
192,INGHAM - MI,0.5740785273021269,0.5777923083282601,0.6585487182002256,0.6320616058165898,0.6032576369930912,0.651760636457973
193,CLARKE - GA,0.5247370606144478,0.5832684302403652,0.6502087453306965,0.6299791914387634,0.658195482034863,0.17555958155572438
194,DOUGLAS - WI,0.6262323781442919,0.6565688648906182,0.6577744535859719,0.6492093998427536,0.5039758340366932,0.5356404749361754
195,CUMBERLAND - ME,0.5202846725564437,0.5676716979739455,0.6409829973621848,0.6224585739928932,0.5993609517047108,0.6572220464081179
196,TALBOT - GA,0.6566574476491506,0.6218144750254841,0.6402702702702703,0.648811228874248,0.6167590881084412,0.15005678591709257
197,PHILLIPS - AR,0.6461934929668206,0.6362201172755977,0.6349648790277623,0.6559899117276167,0.619876312383144,0.14510573534123677
198,COOK - MN,0.4152482269503546,0.5246745382985165,0.6030465949820788,0.5999397953040337,0.563181148748159,0.6558066211245402
199,MONROE - IN,0.4356787667826952,0.5343095488140766,0.6556988056632128,0.5843105045174143,0.58534916344476,0.6312014061535051
200,WASHINGTON - OR,0.48749825244389,0.5237172946893319,0.5981608573650224,0.5707927078806698,0.5692153978724669,0.6553948165306593
201,FLOYD - KY,0.6553202546446667,0.6224210232038021,0.480873619005045,0.3178643384822028,0.24274486094316808,0.23753898844107393
202,BENNINGTON - VT,0.5103241500254568,0.580592709152898,0.6547127398191228,0.6544648439720343,0.5488176744721247,0.6125949268998295
203,GENESEE - MI,0.6278416681947974,0.6003227692667524,0.6545230472587041,0.6355693751139538,0.5234492806781595,0.5393476689555475
204,FAIRFIELD - SC,0.6266968325791855,0.6109167991520933,0.6533264480592134,0.6538041193778898,0.6164018816011361,0.10137881784223247
205,RICHLAND - SC,0.5423974725491711,0.5701227942989963,0.640195834873392,0.6533860286263619,0.640106210215621,0.11399634716389265
206,SAINT LOUIS - MN,0.597753666344078,0.6526658882233852,0.6510259733701416,0.634790733083032,0.5138762875593745,0.5664137336757828
207,WOODRUFF - AR,0.6408902301018483,0.651685393258427,0.5114089098152843,0.49906890130353815,0.4348502528199144,0.0864297253634895
208,HARTFORD - CT,0.6017232748207076,0.5867720924534466,0.6515560304527849,0.6236972261880481,0.5908682016595226,0.6306372069008492
209,JEFFERSON - AR,0.6512995845740965,0.645230052799003,0.6219475226514871,0.6379870722711171,0.6090986328879278,0.14886914699101678
210,DISTRICT 20 - AK,0.3244291253769927,0.38893728222996515,0.4815103152977812,0.38686589653440484,0.5813725490196079,0.6510604241696679
211,DALLAS - TX,0.4490872521976579,0.48951082507281424,0.5727964705069855,0.5711326443388907,0.6075051418166391,0.6509770484957107
212,MONTGOMERY - AL,0.5025769345682701,0.5037367540435025,0.5935098288191096,0.6189415643028139,0.6144892467510795,0.6508941990538537
213,HUMBOLDT - CA,0.4439898520688916,0.5798809342085178,0.6228443203037959,0.5995649904297895,0.5603753839921682,0.6502912423921096
